2.840000000000000000e+02 2.680000000000000000e+02
2.810000000000000000e+02 2.730000000000000000e+02
2.840000000000000000e+02 2.560000000000000000e+02
2.790000000000000000e+02 2.670000000000000000e+02
2.880000000000000000e+02 2.690000000000000000e+02
2.790000000000000000e+02 2.650000000000000000e+02
2.770000000000000000e+02 2.660000000000000000e+02
2.770000000000000000e+02 2.660000000000000000e+02
2.700000000000000000e+02 2.530000000000000000e+02
2.670000000000000000e+02 2.530000000000000000e+02
2.620000000000000000e+02 2.420000000000000000e+02
2.660000000000000000e+02 2.450000000000000000e+02
2.670000000000000000e+02 2.480000000000000000e+02
2.760000000000000000e+02 2.600000000000000000e+02
2.900000000000000000e+02 2.360000000000000000e+02
3.070000000000000000e+02 2.760000000000000000e+02
3.080000000000000000e+02 2.920000000000000000e+02
3.250000000000000000e+02 2.990000000000000000e+02
3.270000000000000000e+02 3.030000000000000000e+02
3.320000000000000000e+02 3.150000000000000000e+02
