3.900000000000000000e+01 1.750000000000000000e+01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
2.625000000000000000e+02 2.220000000000000000e+02 1.285000000000000000e+02 6.090000000000000000e+02 6.195000000000000000e+02 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
6.675000000000000000e+02 8.895000000000000000e+02 1.114500000000000000e+03 1.090750000000000000e+03 6.042500000000000000e+02 7.215000000000000000e+02 7.115000000000000000e+02 6.670000000000000000e+02 5.375000000000000000e+02 5.955000000000000000e+02 8.925000000000000000e+02 8.010000000000000000e+02 8.060000000000000000e+02 9.475000000000000000e+02 9.860000000000000000e+02 9.955000000000000000e+02 1.103000000000000000e+03 8.560000000000000000e+02 1.006000000000000000e+03 nan nan
3.617500000000000000e+02 2.375000000000000000e+02 1.235000000000000000e+02 7.950000000000000000e+01 3.125000000000000000e+01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
4.580000000000000000e+02 2.470000000000000000e+02 2.365000000000000000e+02 3.005000000000000000e+02 3.450000000000000000e+02 3.720000000000000000e+02 4.975000000000000000e+02 5.497500000000000000e+02 4.865000000000000000e+02 5.465000000000000000e+02 nan nan nan nan nan nan nan nan nan nan nan
4.117500000000000000e+02 4.085000000000000000e+02 3.690000000000000000e+02 4.400000000000000000e+02 4.520000000000000000e+02 7.910000000000000000e+02 8.392500000000000000e+02 7.665000000000000000e+02 5.610000000000000000e+02 6.537500000000000000e+02 6.485000000000000000e+02 5.330000000000000000e+02 4.205000000000000000e+02 3.577500000000000000e+02 nan nan nan nan nan nan nan
8.015000000000000000e+02 5.435000000000000000e+02 4.015000000000000000e+02 3.940000000000000000e+02 3.040000000000000000e+02 4.230000000000000000e+02 4.200000000000000000e+02 4.390000000000000000e+02 4.915000000000000000e+02 7.215000000000000000e+02 8.345000000000000000e+02 7.747500000000000000e+02 7.630000000000000000e+02 8.725000000000000000e+02 9.000000000000000000e+02 8.125000000000000000e+02 nan nan nan nan nan
3.780000000000000000e+02 4.445000000000000000e+02 3.160000000000000000e+02 3.660000000000000000e+02 4.150000000000000000e+02 4.720000000000000000e+02 5.345000000000000000e+02 5.130000000000000000e+02 5.380000000000000000e+02 5.272500000000000000e+02 5.535000000000000000e+02 4.450000000000000000e+02 4.230000000000000000e+02 3.892500000000000000e+02 5.845000000000000000e+02 6.275000000000000000e+02 6.655000000000000000e+02 7.470000000000000000e+02 9.070000000000000000e+02 8.405000000000000000e+02 9.360000000000000000e+02
9.865000000000000000e+02 9.805000000000000000e+02 1.016000000000000000e+03 1.490000000000000000e+03 2.138500000000000000e+03 3.078000000000000000e+03 2.360000000000000000e+03 6.735000000000000000e+02 6.185000000000000000e+02 7.595000000000000000e+02 7.025000000000000000e+02 9.070000000000000000e+02 8.845000000000000000e+02 7.850000000000000000e+02 6.025000000000000000e+02 6.075000000000000000e+02 5.615000000000000000e+02 4.195000000000000000e+02 3.905000000000000000e+02 4.615000000000000000e+02 5.555000000000000000e+02
5.050000000000000000e+02 6.200000000000000000e+02 6.805000000000000000e+02 5.670000000000000000e+02 5.435000000000000000e+02 4.755000000000000000e+02 6.070000000000000000e+02 5.635000000000000000e+02 5.785000000000000000e+02 6.420000000000000000e+02 6.515000000000000000e+02 5.470000000000000000e+02 5.430000000000000000e+02 5.465000000000000000e+02 5.747500000000000000e+02 3.640000000000000000e+02 3.535000000000000000e+02 4.865000000000000000e+02 nan nan nan
